fecha,ubicacion,id_camera,ACCIDENTE,Gravedad_nombre,con_embriaguez,con_persona_mayor,con_embarazo,latitud,longitud,year
2019-09-24,CL 9-KR 68 2,DEI-003/CAM-02,A001054371,Solo Daños,NO,NO,,4.62900000000002,-74.122,2019
2019-09-19,AV AVENIDA DEL SUR-KR 68 02,DEI-003/CAM-01,A001054380,Solo Daños,NO,NO,,4.62900000000002,-74.122,2019
2019-09-19,AV AVENIDA DEL SUR-KR 68 02,DEI-003/CAM-02,A001054380,Solo Daños,NO,NO,,4.62900000000002,-74.122,2019
2019-09-18,AK 30-CL 63 02,DEI-016/CAM-02,A001054418,Con Heridos,NO,SI,,4.65199999999999,-74.078,2019
2019-09-18,AK 30-CL 63 02,DEI-016/CAM-03,A001054418,Con Heridos,NO,SI,,4.65199999999999,-74.078,2019
2019-10-02,AV AVENIDA DE LAS AMERICAS-KR 63 2,DEI-007/CAM-03,A001054441,Solo Daños,NO,NO,,4.67368796099998,-74.104197442,2019
2019-09-19,KR 45-CL 184 2,DEI-025/CAM-01,A001054471,Solo Daños,NO,NO,,4.762,-74.044,2019
2019-09-19,KR 45-CL 184 2,DEI-025/CAM-02,A001054471,Solo Daños,NO,NO,,4.762,-74.044,2019
2019-09-19,KR 45-CL 184 2,DEI-025/CAM-03,A001054471,Solo Daños,NO,NO,,4.762,-74.044,2019
2019-09-19,KR 45-CL 184 2,DEI-025/CAM-04,A001054471,Solo Daños,NO,NO,,4.762,-74.044,2019
2019-09-19,AV AVENIDA BOYACA-CL 52 02,DEI-007/CAM-01,A001054476,Solo Daños,NO,NO,,4.67000000000002,-74.108,2019
2019-09-19,AV AVENIDA BOYACA-CL 52 02,DEI-007/CAM-02,A001054476,Solo Daños,NO,NO,,4.67000000000002,-74.108,2019
2019-09-19,AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 82 02,DEI-037/CAM-01,A001054505,Solo Daños,SI,NO,,4.627467094,-74.169940033,2019
2019-09-19,AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 82 02,DEI-037/CAM-02,A001054505,Solo Daños,SI,NO,,4.627467094,-74.169940033,2019
2019-09-25,AV AVENIDA DE LAS AMERICAS-KR 68 2,DEI-003/CAM-01,A001054519,Solo Daños,NO,NO,,4.62900000000002,-74.122,2019
2019-09-25,AV AVENIDA DE LAS AMERICAS-KR 68 2,DEI-003/CAM-02,A001054519,Solo Daños,NO,NO,,4.62900000000002,-74.122,2019
2019-10-03,AK 86-CL 43 S 2,DEI-037/CAM-01,A001054554,Con Heridos,NO,NO,,4.62852092700001,-74.171,2019
2019-10-03,AK 86-CL 43 S 2,DEI-037/CAM-02,A001054554,Con Heridos,NO,NO,,4.62852092700001,-74.171,2019
2019-09-25,AV AVENIDA DE LAS AMERICAS-KR 71C 2,DEI-039/CAM-01,A001054610,Con Heridos,NO,SI,,4.63,-74.135,2019
2019-09-25,AV AVENIDA DE LAS AMERICAS-KR 71C 2,DEI-039/CAM-02,A001054610,Con Heridos,NO,SI,,4.63,-74.135,2019
2019-09-21,AV AVENIDA PRIMERO DE MAYO-KR 68 2,DEI-003/CAM-01,A001054634,Con Heridos,NO,SI,,4.62900000000002,-74.122,2019
2019-09-21,AV AVENIDA PRIMERO DE MAYO-KR 68 2,DEI-003/CAM-02,A001054634,Con Heridos,NO,SI,,4.62900000000002,-74.122,2019
2019-09-28,AV AVENIDA BOYACA-CL 6 2,DEI-002/CAM-01,A001054663,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-09-28,AV AVENIDA BOYACA-CL 6 2,DEI-002/CAM-02,A001054663,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-09-21,AV AVENIDA DEL SUR-CL 53 02,DEI-007/CAM-01,A001054696,Con Heridos,NO,SI,,4.67099999999999,-74.107,2019
